"Nombre","Factor_Escala","Escala","Detalle","Serie","Embalaje","Peso","Precio"
"MS-09RII Rick-DomII",4,"1/144","No-Grade","Gundam",2847.05,232,5.53
"Genoace II",4,"1/144","High Grade","AGE",3266.68,233,11.37
"RX-78NT-1 Gundam NT-1",4,"1/144","No-Grade","Gundam",2776.19,233,6.32
"Dahgi Iris",3,"1/100","No-Grade","Gundam F",2801.66,234,6.32
"Nobel Gundam",4,"1/144","High Grade","FC",3247.1,234,14.21
"MS-06S Char`s Zaku",3,"1/100","No-Grade","First Gundam",2702.7,235,6.63
"NRX-0015 Gundam Ashtaron",4,"1/144","No-Grade","Gundam X",2776.19,235,6.32
"ORX-05 Gaplant",4,"1/144","No-Grade","Z Gundam",2854.47,235,5.53
"RX-78 Gundam",3,"1/100","No-Grade","First Gundam",2712.6,236,6.63
"Graze Kai",4,"1/144","High Grade","Iron-Blooded Orphans",3294.98,236,9.48
"Grimgerde",4,"1/144","High Grade","Iron-Blooded Orphans",3227.34,236,11.37
"Gundam F91",4,"1/144","High Grade","UC",3168,236,11.37
"Man Rodi",4,"1/144","High Grade","Iron-Blooded Orphans",3306,236,9.48
"Zaku Warrior Live Concert Ver.",4,"1/144","High Grade","Gundam SEED",3416.2,236,9.48
"MS-06 Zaku II",3,"1/100","No-Grade","First Gundam",2852.85,237,6.63
"XXXG-01S2 Gundam Nataku Metal Clear Version",4,"1/144","High Grade","FA Gundam W EW Metal Clear Version",3416.2,237,11.84
"Graze",4,"1/144","High Grade","Iron-Blooded Orphans",3283.96,238,9.48
"MS-15 Gyan",3,"1/100","No-Grade","First Gundam",2852.85,239,6.63
"R03 Buster Gundam",4,"1/144","Remaster","Remaster Ver.",3489.57,239,9.48
"MS-05 Zaku I",3,"1/100","No-Grade","First Gundam",2821.5,240,6.63
"RX-78 Gundam",3,"1/100","No-Grade","First Gundam",3003,240,6.63
"Gundam AGE-1 Titus",4,"1/144","High Grade","AGE",3227.34,240,11.37
"Gundam F91 Harrison Martin Custom",4,"1/144","High Grade","UC",3283.2,240,11.37
"Zaku Warrior",4,"1/144","High Grade","Gundam SEED",3306,240,9.48
"OZ-00MS2B Tallgeese III Special Metal Clear Version",4,"1/144","High Grade","FA Gundam W EW Metal Clear Version",2761.65,241,9.48
"MS-05 Zaku I",3,"1/100","No-Grade","First Gundam",2852.85,242,6.63
"Nobel Gundam Berserker Mode",4,"1/144","High Grade","FC",3238.17,242,14.21
"Grimoire",4,"1/144","High Grade","Reconguista in G",3438,243,13.27
"Hyakuren",4,"1/144","High Grade","Iron-Blooded Orphans",3081.32,243,9.48
"IO Frame Shiden",4,"1/144","High Grade","Iron-Blooded Orphans",3933,243,11.37
"Mcgillis`s Schwalbe Graze",4,"1/144","High Grade","Iron-Blooded Orphans",3249,243,9.48
"Space Gehennam",4,"1/144","High Grade","Reconguista in G",2661.14,243,13.27
"Julieta`s Mobile Reginlaze",4,"1/144","High Grade","Iron-Blooded Orphans",3193.37,244,11.37
"Adele",4,"1/144","High Grade","AGE",3238.17,245,11.37
"Geirail",4,"1/144","High Grade","Iron-Blooded Orphans",3193.37,245,9.48
"Mack Knife",4,"1/144","High Grade","Reconguista in G",3210.35,245,13.27
"OZ-00MS2B Tallgeese III",4,"1/144","High Grade","FA Gundam W EW",2847.05,245,7.58
"Space Gehennam",4,"1/144","High Grade","Reconguista in G",3306,245,13.27
"MSM-04 Acguy",3,"1/100","No-Grade","First Gundam",3472.08,246,6.63
"Adele",4,"1/144","High Grade","AGE",3227.34,246,11.37
"R11 LaGOWE",4,"1/144","Remaster","Remaster Ver.",3501.6,246,13.27
"XXXG-00W0 W-Gundam Zero Custom Metal Clear Version",4,"1/144","High Grade","FA Gundam W EW Metal Clear Version",3306,247,11.84
"G-Exes Jack Edge",4,"1/144","High Grade","AGE",3283.96,248,11.37
"Hyperion Gundam",4,"1/144","High Grade","Gundam SEED MSV",3829.9,248,11.37
"Ryuseigo",4,"1/144","High Grade","Iron-Blooded Orphans",3081.32,248,11.37
"Hyakuren",4,"1/144","High Grade","Iron-Blooded Orphans",3249,249,11.37
"Gafran",4,"1/144","High Grade","AGE",3283.96,250,11.37
"MSN-00100 Hyaku Shiki",4,"1/144","High Grade","UC",3306,250,14.21
"RX-78-2 Gundam",4,"1/144","High Grade","UC",3306,250,9.48
"XXXG-00W0 W-Gundam Zero Custom",4,"1/144","High Grade","FA Gundam W EW",3416.2,250,9.48
"Jagd Doga",4,"1/144","No-Grade","Char`s Counter Attack",2839.68,250,6.32
"Jagd Doga",4,"1/144","No-Grade","Char`s Counter Attack",2839.68,250,6.32
"R12 Mobile BuCUE",4,"1/144","Remaster","Remaster Ver.",3446.02,250,13.27
"Hugo",4,"1/144","High Grade","Iron-Blooded Orphans",3266.68,252,11.37
"Mobile Ginn Miguel`s Ginn",4,"1/144","High Grade","Gundam SEED MSV",3786.24,252,9.48
"MS-06FS Zaku II Garma Custom",4,"1/144","High Grade","UC",3306,252,9.48
"OZ-19MASX Gundam Griepe",4,"1/144","High Grade","Gundam W Unit",3439.76,253,9.48
"Dorado",4,"1/144","High Grade","AGE",3227.34,254,11.37
"Farsia",4,"1/144","High Grade","AGE",3294.98,254,11.37
"RMS-106 Hi-Zack E.F.S.F.",4,"1/144","High Grade","UC",3416.2,254,9.48
"RX-78-2 Gundam Ver.G 30th",4,"1/144","High Grade","Gunpla Builders",3294.98,254,11.37
"Doday Two",4,"1/144","EX","EX Model",2664.75,255,33.16
"Gundam Astary Blue Frame",4,"1/144","High Grade","Gundam SEED",3753.61,255,11.37
"Gundam Astray Green Frame Trojan Noiret Custom",4,"1/144","High Grade","Gundam SEED",3294.98,255,11.37
"Gundam Vidar",4,"1/144","High Grade","Iron-Blooded Orphans",3081.32,255,11.37
"Helmwige Reincar",4,"1/144","High Grade","Iron-Blooded Orphans",3420,255,11.37
"MS-06 Zaku II Mass Production Type",4,"1/144","High Grade","UC",3306,255,9.48
"Zedas R",4,"1/144","High Grade","AGE",3283.96,255,14.21
"ZGMF-1017 Mobile Ginn",4,"1/144","High Grade","Gundam SEED",3732.93,255,9.48
"RX-77D GunCannon Mass Production Type",4,"1/144","High Grade","UC",3306,256,9.48
"Zedas",4,"1/144","High Grade","AGE",3306,256,14.21
"MS-14B Gelgoog 14B",4,"1/144","No-Grade","MSV",3458.75,256,6.32
"GM II",4,"1/144","High Grade","UC",3249,257,13.27
"Gundam Barbatos",4,"1/144","High Grade","Iron-Blooded Orphans",3081.32,257,9.48
"R04 Blitz Gundam",4,"1/144","Remaster","Remaster Ver.",3829.9,257,11.37
"RX-77 Gun Cannon",3,"1/100","No-Grade","First Gundam",2761.92,258,6.63
"R06 Mobile Ginn",4,"1/144","Remaster","Remaster Ver.",3850.16,258,9.48
"FFMH-Y-101 Eternal",5,"1/1700","EX","EX Model",3806.27,258,33.16
"FFMH-Y-101 Eternal",5,"1/1700","EX","EX Model",3806.27,258,33.16
"G-Saviour Space Mode",4,"1/144","High Grade","UC",3501.6,259,14.21
"RGM-79",4,"1/144","High Grade","Gundam The th MS Team",3434.18,259,9.48
"MS-14 Gelgoog",3,"1/100","No-Grade","First Gundam",4135.04,260,7.58
"Base Jabber",4,"1/144","High Grade","UC",2679,260,9.48
"Gundam Barbatos Lupus",4,"1/144","High Grade","Iron-Blooded Orphans",3114.1,260,9.48
"Lightning Gundam",4,"1/144","High Grade","Build Fighters",3863.08,260,15.16
"MS-14S Char`s Gelgoog",3,"1/100","No-Grade","First Gundam",4242.67,261,7.58
"RX-77 Gun Cannon",3,"1/100","No-Grade","First Gundam",2821.5,262,6.63
"Ghirarga",4,"1/144","High Grade","AGE",3819,262,12.32
"Gundam Airmaster",4,"1/144","High Grade","AW",3753.61,262,16.11
"Mobile Ginn High Maneuver",4,"1/144","High Grade","Gundam SEED MSV",3842.75,262,11.37
"Montero",4,"1/144","High Grade","Reconguista in G",3842.75,262,15.16
"RGM-79C GM Type C",4,"1/144","High Grade","UC",3416.2,262,11.37
"Zaku Mariner",4,"1/144","High Grade","UC",3501.6,262,13.27
"Regelgu",4,"1/144","No-Grade","Gundam ZZ",2917.98,262,5.53
"R07 Mobile Cgue",4,"1/144","Remaster","Remaster Ver.",3773.57,262,11.37
"Gundam Astaroth",4,"1/144","High Grade","Iron-Blooded Orphans",3208.8,263,9.48
"Gun Blastor",3,"1/100","High Grade","V Gundam",3471.3,264,7.9
"GAT-01A1 105 Slaughter",4,"1/144","High Grade","Gundam SEED",3829.9,264,11.37
"Graze Ritter",4,"1/144","High Grade","Iron-Blooded Orphans",3369.43,264,11.37
"OZ-15AGX Hydra Gundam",4,"1/144","High Grade","Gundam W Unit",3452.16,264,9.48
"MS-07 Gouf",3,"1/100","No-Grade","First Gundam",3902.08,265,7.58
"Calamity Gundam",4,"1/144","High Grade","Gundam SEED",3732.93,265,11.37
"GAT-X102 Duel Gundam Assault Shroud",4,"1/144","High Grade","Gundam SEED",3732.93,265,11.37
"GAT-X103 Buster Gundam",4,"1/144","High Grade","Gundam SEED",3306,265,9.48
"GAT-X105 Aile Strike Gundam",4,"1/144","High Grade","Gundam SEED",3732.93,265,11.37
"GAT-X207 Blitz Gundam",4,"1/144","High Grade","Gundam SEED",3772.64,265,11.37
"GAT-X303 Aegis Gundam",4,"1/144","High Grade","Gundam SEED",3732.93,265,11.37
"Gundam Astray Red Frame",4,"1/144","High Grade","Gundam SEED",3753.61,265,11.37
"Lunamaria Gunner Zaku Worrier",4,"1/144","High Grade","Gundam SEED",3819,265,12.32
"Mobile Cgue",4,"1/144","High Grade","Gundam SEED",3762,265,11.37
"Mobile Sigue Zist Elways Use",4,"1/144","High Grade","Gundam SEED",3732.93,265,11.37
"Zollidia",3,"1/100","High Grade","V Gundam",3471.3,266,7.9
"MS-14 Gelgoog",3,"1/100","No-Grade","First Gundam",4089.54,266,7.58
"Hyakuri",4,"1/144","High Grade","Iron-Blooded Orphans",3081.32,267,11.37
"Local Type Gundam",4,"1/144","High Grade","Gundam The Origin",3876,267,18.95
"Clanche",4,"1/144","High Grade","AGE",3863.08,268,12.32
"GM Intercept Custom",4,"1/144","High Grade","Gundam The Origin",3855.6,268,17.06
"Leo NPD",4,"1/144","High Grade","Build Divers",3819,268,11.37
"XXXG-01W Wing Gundam",4,"1/144","High Grade","AC",3850.16,268,14.21
"R02 Duel Gundam",4,"1/144","Remaster","Remaster Ver.",3829.9,268,11.37
"Base Jabber Type 89",4,"1/144","High Grade","UC",3294.98,269,11.37
"Transient Gundam",4,"1/144","High Grade","Build Fighters",3919.89,269,17.06
"Gundam Flauros",4,"1/144","High Grade","Iron-Blooded Orphans",3876,270,13.27
"Gundam Kimaris",4,"1/144","High Grade","Iron-Blooded Orphans",3137.34,270,11.37
"Mobile Bucue",4,"1/144","High Grade","Gundam SEED",4299.7,270,13.27
"Zeydra",4,"1/144","High Grade","AGE",3786.24,270,12.32
"Gundam RX-78 GP02A",4,"1/144","No-Grade","Stardust Memory",3993.99,270,7.9
"Mobile Armor Exass",4,"1/144","EX","EX Model",3741.01,271,30.32
"Mobile Armor Exass",4,"1/144","EX","EX Model",3741.01,271,30.32
"Aile Strike Gundam",4,"1/144","High Grade","CE",3876,271,12.32
"Gundam Gusion Rebake",4,"1/144","High Grade","Iron-Blooded Orphans",3697.58,271,11.37
"MSA-003 Nemo",4,"1/144","High Grade","UC",3135,271,14.21
"Rouei",4,"1/144","High Grade","Iron-Blooded Orphans",3306,271,11.37
"Build Burning Gundam",4,"1/144","High Grade","Build Fighters",3863.08,272,13.27
"GM/GM",4,"1/144","High Grade","Build Fighters",3231.9,272,15.16
"Turn A Gundam",4,"1/144","High Grade","CC",3835.2,272,13.27
"Gundam RX-78 GP03S",4,"1/144","No-Grade","Stardust Memory",3993.99,272,7.9
"R01 Aile Strike Gundam",4,"1/144","Remaster","Remaster Ver.",4032.54,272,11.37
"Gundam Amazing Red Warrior",4,"1/144","High Grade","Build Fighters",3697.58,273,17.06
"Momokapool",4,"1/144","High Grade","Build Divers",4359.74,273,17.06
"MSA-003 Nemo",4,"1/144","High Grade","UC",3227.34,273,14.21
"Crossbone Gundam Maoh",4,"1/144","High Grade","Build Fighters",3697.58,274,17.06
"Gundam Portant",4,"1/144","High Grade","Build Fighters",3850.16,274,17.06
"V2 Gundam",4,"1/144","High Grade","UC",3697.58,274,12.32
"MSM-08 Zogok",3,"1/100","No-Grade","MSV",4054.4,275,7.58
"Vigna Ghina",3,"1/100","No-Grade","Gundam F",3464.06,275,7.9
"Gundam Bael",4,"1/144","High Grade","Iron-Blooded Orphans",4116.86,275,13.27
"RGE-G2100C Clanche Custom",4,"1/144","High Grade","AGE",3916.8,275,12.32
"Wing Gundam Zero",4,"1/144","High Grade","AC",3351.79,275,15.16
"GM Ground Type",4,"1/144","High Grade","UC",3990,276,14.21
"Gundam Legilis",4,"1/144","High Grade","AGE",3855.6,277,14.21
"Crossbone Gundam X1",4,"1/144","High Grade","UC",4047,278,17.06
"G Bouncer",4,"1/144","High Grade","AGE",3876,278,14.21
"Gyan",4,"1/144","High Grade","UC Revive",3192,278,11.37
"MSA-003 Nemo",4,"1/144","High Grade","UC",3306,278,14.21
"Build Strike Gundam Full Package",4,"1/144","High Grade","Build Fighters",3863.08,279,13.27
"Gunner Zaku Worrier",4,"1/144","High Grade","Gundam SEED",3842.75,279,12.32
"EWAC-Zack",4,"1/144","No-Grade","Gundam ZZ",4206.61,279,5.53
"BMS-005 G Xiphos",4,"1/144","High Grade","AGE",3852.68,280,14.21
"RGM-79FP Gm Striker",4,"1/144","High Grade","UC",3741.01,280,11.37
"MSM-07 Z`Gok",3,"1/100","No-Grade","First Gundam",4076.8,281,7.58
"MSM-07S Char`s Z`Gok",3,"1/100","No-Grade","First Gundam",4032,281,7.58
"R16 M1 Astray",4,"1/144","Remaster","Remaster Ver.",3475.97,281,13.27
"Ginn Type Insurgentt",4,"1/144","High Grade","Gundam SEED",3850.16,282,11.37
"MSZ-006C1 Zetaplus C1",4,"1/144","No-Grade","Gundam Sentinel",3860.77,282,9.48
"v Gundam Fin-Fannel Equipment Type",4,"1/144","No-Grade","Char`s Counter Attack",4116,282,7.9
"RGM-111 Hardygun",3,"1/100","No-Grade","Silhouette Formula  in U.C.",3506.04,283,9.48
"Extreme Gundam",4,"1/144","High Grade","(Gundam Thunderbolt)",3865.66,284,15.16
"Gundam G-Arcane",4,"1/144","High Grade","Reconguista in G",3697.58,284,15.16
"Devil Gundam",4,"1/144","No-Grade","G Gundam",3993.99,284,7.9
"R08 Calamity Gundam",4,"1/144","Remaster","Remaster Ver.",3829.9,284,11.37
"Salamis and Magellan",5,"1/1700","EX","EX Model",3876,284,37.9
"Salamis and Magellan",5,"1/1700","EX","EX Model",3876,284,37.9
"Gaia Gundam Andrew Waldfeld Custom",4,"1/144","High Grade","Gundam SEED",4476.4,285,14.21
"Gundam G-Self",4,"1/144","High Grade","Reconguista in G",3697.58,285,15.16
"Kerberos Bucue Hound Aleck Ladd Use",4,"1/144","High Grade","Gundam SEED",4263.12,285,14.21
"Gundam Vual",4,"1/144","High Grade","Iron-Blooded Orphans",3819,286,13.27
"Gundam RXF91",3,"1/100","No-Grade","Silhouette Formula  in U.C.",3651.18,287,13.27
"Gundam Local Type",4,"1/144","High Grade","Gundam The Origin",3793.54,288,18.95
"MS-07H8 Gouf Flight Type",4,"1/144","High Grade","Gundam The th MS Team",2413,288,7.9
"RX-78 GP01 Gundam GP01 ZEPHYRANTHES",4,"1/144","High Grade","UC",3819,288,11.37
"Dragon Gundam",3,"1/100","High Grade","G Gundam",3713.06,289,11.84
"Gunpla Starter Set Vol.2",4,"1/144","High Grade","Gunpla Builders",3283.96,289,13.27
"MS-06F-2 Zaku II Type F2",4,"1/144","High Grade","UC",4247.93,289,14.21
"Baqto",4,"1/144","High Grade","AGE",3863.08,290,14.21
"MS-06F-2 Zaku II Type F2",4,"1/144","High Grade","UC",4166.4,290,14.21
"R05 Aegis Gundam",4,"1/144","Remaster","Remaster Ver.",3829.9,290,11.37
"Beruga Giros",3,"1/100","No-Grade","Gundam F",3306,291,7.9
"MS-09 Dom",3,"1/100","No-Grade","First Gundam",4067.07,291,7.58
"GM Sniper II",4,"1/144","High Grade","UC",3408.6,291,14.21
"Gundam AGE-2 Normal",4,"1/144","High Grade","AGE",3809.63,291,14.21
"Gundam AGE-2 Double Bullet",4,"1/144","High Grade","AGE",4105.57,292,14.21
"Jegan",4,"1/144","High Grade","UC",4299.7,292,14.21
"Wing Gundam Fenice",4,"1/144","High Grade","Build Fighters",3697.58,292,15.16
"Galbaldy Beta",3,"1/100","No-Grade","Z Gundam",3886.6,293,7.9
"MS-09 Dom",3,"1/100","No-Grade","First Gundam",4102.28,293,7.58
"AMX-107 Bawoo",4,"1/144","High Grade","UC",3819,293,11.37
"Dread Nought Gundam",4,"1/144","High Grade","Gundam SEED MSV",4618.38,293,14.21
"EMS10 Zudah",4,"1/144","High Grade","UC",4240.8,293,13.27
"Gundam Astaroth Origin",4,"1/144","High Grade","Iron-Blooded Orphans",3697.58,293,13.27
"RX-79[G]Ez-8 Gundam Ez8",4,"1/144","High Grade","UC",3919.89,293,15.16
"YMS-03 Waff",4,"1/144","High Grade","Gundam The Origin",3850.16,293,16.11
"MS-05 Zaku I The Black Tri-Star",4,"1/144","High Grade","UC",3416.2,294,9.48
"RGC-83 GM Cannon II",4,"1/144","High Grade","UC",3886.22,294,13.27
"RGM-86R GM III",4,"1/144","High Grade","UC",3464.06,294,14.21
"GM Guard Custom",4,"1/144","High Grade","Gundam The Origin",3697.58,295,17.06
"MS-05 Zaku I",4,"1/144","High Grade","UC",3306,295,9.48
"MS-05L Zaku I Sniper Type",4,"1/144","High Grade","UC",3837.24,295,13.27
"MS-06FZ Zaku II Custom",4,"1/144","High Grade","UC",3416.2,295,11.37
"MS-06S Char`s Zaku II",4,"1/144","High Grade","UC",3306,295,9.48
"MS-14JG Gelgoog J",4,"1/144","High Grade","UC",4123,295,11.37
"MSA-005 Methuss",4,"1/144","High Grade","UC",4535.3,295,13.27
"MSM-04 Acguy",4,"1/144","High Grade","UC",4535.3,295,13.27
"RGM-79 Powered GM",4,"1/144","High Grade","UC",3793.54,295,11.37
"RGM-79Q GM Quel",4,"1/144","High Grade","UC",3650.92,295,11.37
"RMS-099 Rick Dias",4,"1/144","High Grade","UC",4299.7,295,11.37
"RMS-106 Hi-Zack",4,"1/144","High Grade","UC",3306,295,7.9
"RMS-108 Marasai",4,"1/144","High Grade","UC",4123,295,13.27
"RX-121-1 Hazel-Custom",4,"1/144","High Grade","UC",3990,295,12.32
"RX-178 Gundam Mk-II Titans Color",4,"1/144","High Grade","UC",3306,295,9.48
"Star Burning Gundam",4,"1/144","High Grade","Build Fighters",3833.47,295,15.16
"Zaku I",4,"1/144","High Grade","Gundam The Origin",3990,295,16.11
"XM-07G Vigna Zirah",3,"1/100","No-Grade","Silhouette Formula  in U.C.",3532.03,296,9.48
"Chinagguy",4,"1/144","High Grade","Build Fighters",3833.47,296,20.85
"Gouf",4,"1/144","High Grade","UC Revive",3876,296,14.21
"Gundam 00 Diver",4,"1/144","High Grade","Build Divers",3070.98,296,9.48
"Gundam Kimaris Trooper",4,"1/144","High Grade","Iron-Blooded Orphans",3906.78,296,13.27
"V-Dash Gundam",4,"1/144","High Grade","UC",3876,296,17.06
"MSM-04N Agguy",3,"1/100","No-Grade","MSV",4076.8,297,6.32
"Full Armor 7th Gundam",4,"1/144","High Grade","UC",4367.59,297,14.21
"God Gundam",4,"1/144","High Grade","FC",4225.92,297,17.06
"Gundam AN-01 Tristan",4,"1/144","High Grade","UC",3921.68,297,14.21
"RX-139 Hambrabi",4,"1/144","High Grade","UC",4276.87,297,16.11
"ZGMF-X10A Freedom Gundam",4,"1/144","High Grade","Gundam SEED",4367.59,297,14.21
"Gundam Lightning Black Warrior",4,"1/144","High Grade","Build Fighters",3899.26,298,17.06
"Shining Gundam",3,"1/100","High Grade","G Gundam",3669.9,299,11.84
"XXXG-01S Shenlong Gundam",3,"1/100","High Grade","Gundam W",3510,299,11.84
"Gundam Barbatos Lupus Rex",4,"1/144","High Grade","Iron-Blooded Orphans",3813.51,299,13.27
"AMX-107 Bawoo Production Type",4,"1/144","High Grade","UC",3876,300,11.37
"AGX-04 Gerbera Tetra",4,"1/144","No-Grade","Stardust Memory",4116.86,300,7.9
"F90Y Cluster Gundam",3,"1/100","No-Grade","Silhouette Formula  in U.C.",3494.07,301,11.37
"GPB-X80 Beginning Gundam",4,"1/144","High Grade","Gunpla Builders",4123,301,15.16
"Gundam MK-II",4,"1/144","High Grade","UC REVIVE",3697.58,301,14.21
"Gundam MK-II",4,"1/144","High Grade","UC REVIVE",3697.58,301,14.21
"R13 Providence Gundam",4,"1/144","Remaster","Remaster Ver.",4559.17,301,14.21
"V2 Gundam",3,"1/100","High Grade","V Gundam",3591,302,11.84
"GM",4,"1/144","High Grade","(Gundam Thunderbolt)",3809.63,302,17.06
"Gundam 00 Shia QAN[T]",4,"1/144","High Grade","Build Fighters",3283.2,302,15.16
"Zaku I Sniper Type",4,"1/144","High Grade","UC",3942.54,302,15.16
"LM312V04 Victory Gundam",3,"1/100","High Grade","V Gundam",3685.5,303,11.84
"MSM-03 Gog",3,"1/100","No-Grade","First Gundam",4219.49,303,7.58
"Graze Ein",4,"1/144","High Grade","Iron-Blooded Orphans",3753.61,303,13.27
"Gundam Kimaris Vidar",4,"1/144","High Grade","Iron-Blooded Orphans",3933,303,13.27
"Gundam Leopard da Vinci",4,"1/144","High Grade","Build Fighters",3933,303,17.06
"MS-14F Gelgoog Marine",4,"1/144","High Grade","UC",3819,303,11.37
"LED Unit for RX-0 Unicorn Gundam",2,"1/60","Perfect Grade","Perfect Grade (PG)",3268.19,304,113.7
"Gundam AGE-2 Dark Hound",4,"1/144","High Grade","AGE",3863.08,304,14.21
"Gundam Gusion",4,"1/144","High Grade","Iron-Blooded Orphans",4332,304,11.37
"R15 Freedom Gundam",4,"1/144","Remaster","Remaster Ver.",4583.04,304,14.21
"*Bargain Item* Ahgama",5,"1/1700","EX","EX Model",3876,304,33.16
"*Bargain Item* Ahgama",5,"1/1700","EX","EX Model",3876,304,33.16
"Ninpulse Gundam",4,"1/144","High Grade","Build Fighters",3933,305,18.95
"GM",4,"1/144","High Grade","(Gundam Thunderbolt)",3896.4,306,17.06
"Gundam X Maoh",4,"1/144","High Grade","Build Fighters",3933,306,17.06
"G Armor",4,"1/144","No-Grade","First Gundam",3999.6,306,9.48
"MS-04 Bugu",4,"1/144","High Grade","Gundam The Origin",3850.16,307,16.11
"RB-79 Ball Twin Set",4,"1/144","High Grade","UC",3819,307,12.32
"Danazine",4,"1/144","High Grade","AGE",3842.75,308,14.21
"Ginn Hi Maneuver 2",4,"1/144","High Grade","Gundam SEED",4476.4,308,14.21
"Dahak",4,"1/144","High Grade","Reconguista in G",4560,309,17.06
"MSM-07E Z`gok Experement",4,"1/144","High Grade","UC",4240.8,309,11.37
"R-Jarja",4,"1/144","No-Grade","Gundam ZZ",1836.8,309,4.74
"Magella-Attack",4,"1/144","EX","EX Model",3585.73,310,33.16
"AMX-003 Gaza-C",4,"1/144","High Grade","UC",4240.8,310,13.27
"Justice Gundam",4,"1/144","High Grade","Gundam SEED",4476.4,310,14.21
"UT-1D Civilian Astray DSSD Custom",4,"1/144","High Grade","Gundam SEED",4299.7,310,14.21
"Gundam Gusion Rebake Full City",4,"1/144","High Grade","Iron-Blooded Orphans",3697.58,311,11.37
"RX-79BD-1 Blue Destiny Unit 1",4,"1/144","High Grade","UC",4535.3,311,14.21
"R10 Raider Gundam",4,"1/144","Remaster","Remaster Ver.",4559.17,311,14.21
"R14 Justice Gundam",4,"1/144","Remaster","Remaster Ver.",4618.38,312,14.21
"F71B G-Cannon Magna",3,"1/100","No-Grade","Silhouette Formula  in U.C.",4016.6,313,9.48
"Gundam F91",3,"1/100","No-Grade","Gundam F",3704.4,313,11.05
"Gundam Fullarmor Type",3,"1/100","No-Grade","MSV",4392,313,7.9
"MS-06R Zaku II Shin Matsunaga`s Customize Mobile Suit",3,"1/100","No-Grade","MSV",4251.52,313,7.9
"Barzam",4,"1/144","High Grade","UC",3835.2,313,14.21
"Catsith",4,"1/144","High Grade","Reconguista in G",4351.35,313,17.06
"Gundam Ground Type",4,"1/144","High Grade","UC",3876,313,16.11
"Star Build Strike Gundam Plavsky Wing",4,"1/144","High Grade","Build Fighters",3865.66,313,14.21
"R09 Forbidden Gundam",4,"1/144","Remaster","Remaster Ver.",4559.17,313,14.21
"Gundam Jiyan Altron",4,"1/144","High Grade","Build Divers",3697.58,314,17.06
"Legend Gundam",4,"1/144","High Grade","Gundam SEED",4476.4,314,14.21
"LHM-BB01 Minerva",5,"1/1700","EX","EX Model",4523.52,314,37.9
"LHM-BB01 Minerva",5,"1/1700","EX","EX Model",4523.52,314,37.9
"Gundam Maxter",3,"1/100","High Grade","G Gundam",3817.8,315,11.84
"Oggo",4,"1/144","EX","EX Model",4299.7,315,33.16
"Cgue D.E.E.P. Arms",4,"1/144","High Grade","Gundam SEED MSV",4559.17,315,14.21
"Sengoku Astray Gundam",4,"1/144","High Grade","Build Fighters",4464.37,315,17.06
"XXXG-01D Gundam Deathscythe",3,"1/100","High Grade","Gundam W",3959.7,316,11.84
"MS-06K Zaku Cannon",3,"1/100","No-Grade","MSV",4228.16,316,7.9
"Gundam X Divider",4,"1/144","High Grade","AW",4299.26,318,17.06
"Jegan",4,"1/144","High Grade","UC",4285.44,318,15.16
"Justima",4,"1/144","High Grade","Reconguista in G",4389,318,16.11
"Zaku I",4,"1/144","High Grade","Gundam The Origin",3850.16,318,16.11
"MSA-0011 S-Gundam",4,"1/144","No-Grade","Gundam Sentinel",4016.6,318,9.48
"Blue Destiny Unit 1 `EXAM`",4,"1/144","High Grade","UC",3809.63,319,15.16
"Zaku I",4,"1/144","High Grade","(Gundam Thunderbolt)",4520.06,319,17.06
"Rising Gundam",3,"1/100","High Grade","G Gundam",3813.38,320,11.84
"Gouf R35",4,"1/144","High Grade","Build Fighters",3697.58,320,14.21
"Gundam AGE-3 Normal",4,"1/144","High Grade","AGE",3863.08,320,15.16
"Gundam AGE-FX",4,"1/144","High Grade","AGE",3946.11,320,15.16
"Gundam The End",4,"1/144","High Grade","Build Fighters",4584,320,20.85
"Owashi Akatsuki Gundam",4,"1/144","High Grade","Gundam SEED",4476.4,320,22.74
"Strike Freedom Gundam",4,"1/144","High Grade","Gundam SEED",4476.4,320,15.16
"ZGMF-2000 Gouf Ignited Rudolf Wittgenstein Custom",4,"1/144","High Grade","Gundam SEED",3835.2,320,14.21
"Sazabi",4,"1/144","No-Grade","Char`s Counter Attack",3990,320,7.9
"MS-08TX/S Efreet Schneid",4,"1/144","High Grade","UC",4313.85,321,17.06
"RX-79BD Blue Destiny Unit 2",4,"1/144","High Grade","UC",4535.3,321,14.21
"Schuzrum Galluss",4,"1/144","High Grade","UC",4358.98,321,22.74
"G Gundam Hyper Mode Ver.",3,"1/100","High Grade","G Gundam",3586.8,322,14.21
"Arms Astray PMC Custom Leons Graves Custom",4,"1/144","High Grade","Gundam SEED",4792.32,322,14.21
"Blaze Zaku Phantom Ray Use",4,"1/144","High Grade","Gundam SEED",4476.4,322,14.21
"Chaos Gundam",4,"1/144","High Grade","Gundam SEED",4476.4,322,14.21
"Forbidden Gundam",4,"1/144","High Grade","Gundam SEED",4417.5,322,14.21
"Force Impulse Gundam",4,"1/144","High Grade","Gundam SEED",4417.5,322,14.21
"Gaia Gundam",4,"1/144","High Grade","Gundam SEED",4476.4,322,14.21
"GAT-X105E Strike Noerl Gundam",4,"1/144","High Grade","Gundam SEED",4721.18,322,14.21
