"Nombre","Escala","Detalle","Serie","Embalaje","Peso","Precio"
"436","MSA-003 Nemo","1/144","High Grade","UC",3135,271,14.21
"539","Gundam Kimaris","1/144","High Grade","Iron-Blooded Orphans",3137.34,270,11.37
"570","Gundam F91","1/144","High Grade","UC",3168,236,11.37
"588","Gyan","1/144","High Grade","UC Revive",3192,278,11.37
"540","Julieta`s Mobile Reginlaze","1/144","High Grade","Iron-Blooded Orphans",3193.37,244,11.37
"602","Geirail","1/144","High Grade","Iron-Blooded Orphans",3193.37,245,9.48
"603","Gundam Astaroth","1/144","High Grade","Iron-Blooded Orphans",3208.8,263,9.48
"484","Mack Knife","1/144","High Grade","Reconguista in G",3210.35,245,13.27
"437","MSA-003 Nemo","1/144","High Grade","UC",3227.34,273,14.21
"541","Grimgerde","1/144","High Grade","Iron-Blooded Orphans",3227.34,236,11.37
"549","Adele","1/144","High Grade","AGE",3227.34,246,11.37
"550","Dorado","1/144","High Grade","AGE",3227.34,254,11.37
"551","Shaldoll Custom","1/144","High Grade","AGE",3227.34,230,11.37
"552","Gundam AGE-1 Titus","1/144","High Grade","AGE",3227.34,240,11.37
"338","GM/GM","1/144","High Grade","Build Fighters",3231.9,272,15.16
"427","Nobel Gundam Berserker Mode","1/144","High Grade","FC",3238.17,242,14.21
"553","Genoace Custom","1/144","High Grade","AGE",3238.17,230,11.37
"554","Adele","1/144","High Grade","AGE",3238.17,245,11.37
"555","G-Exes","1/144","High Grade","AGE",3238.17,228,11.37
"428","Nobel Gundam","1/144","High Grade","FC",3247.1,234,14.21
"493","GM II","1/144","High Grade","UC",3249,257,13.27
"535","Hyakuren","1/144","High Grade","Iron-Blooded Orphans",3249,249,11.37
"556","Genoace","1/144","High Grade","AGE",3249,226,11.37
"604","Mcgillis`s Schwalbe Graze","1/144","High Grade","Iron-Blooded Orphans",3249,243,9.48
"542","Hugo","1/144","High Grade","Iron-Blooded Orphans",3266.68,252,11.37
"557","Genoace II","1/144","High Grade","AGE",3266.68,233,11.37
"19","LED Unit for RX-0 Unicorn Gundam","1/60","Perfect Grade","Perfect Grade (PG)",3268.19,304,113.7
"339","Gundam 00 Shia QAN[T]","1/144","High Grade","Build Fighters",3283.2,302,15.16
"571","Gundam F91 Harrison Martin Custom","1/144","High Grade","UC",3283.2,240,11.37
"417","Zedas R","1/144","High Grade","AGE",3283.96,255,14.21
"502","Gunpla Starter Set Vol.2","1/144","High Grade","Gunpla Builders",3283.96,289,13.27
"558","Gafran","1/144","High Grade","AGE",3283.96,250,11.37
"559","G-Exes Jack Edge","1/144","High Grade","AGE",3283.96,248,11.37
"572","LM312V04 Victory Gundam","1/144","High Grade","UC",3283.96,226,11.37
"605","Graze","1/144","High Grade","Iron-Blooded Orphans",3283.96,238,9.48
"548","Option Unit Space Pack for Gundam G-Self","1/144","High Grade","Reconguista in G",3294.98,218,11.37
"560","Gundam AGE-1 Spallow","1/144","High Grade","AGE",3294.98,217,11.37
"561","Gundam AGE-1 Normal","1/144","High Grade","AGE",3294.98,225,11.37
"562","Farsia","1/144","High Grade","AGE",3294.98,254,11.37
"573","Base Jabber Type 89","1/144","High Grade","UC",3294.98,269,11.37
"589","Guncannon","1/144","High Grade","UC Revive",3294.98,227,11.37
"606","Graze Kai","1/144","High Grade","Iron-Blooded Orphans",3294.98,236,9.48
"607","Hekija","1/144","High Grade","Iron-Blooded Orphans",3294.98,222,9.48
"418","Zedas","1/144","High Grade","AGE",3306,256,14.21
"438","MSN-00100 Hyaku Shiki","1/144","High Grade","UC",3306,250,14.21
"439","MSA-003 Nemo","1/144","High Grade","UC",3306,278,14.21
"485","Space Gehennam","1/144","High Grade","Reconguista in G",3306,245,13.27
"514","XXXG-00W0 W-Gundam Zero Custom Metal Clear Version","1/144","High Grade","FA Gundam W EW Metal Clear Version",3306,247,11.84
"543","Rouei","1/144","High Grade","Iron-Blooded Orphans",3306,271,11.37
"592","GAT-X103 Buster Gundam","1/144","High Grade","Gundam SEED",3306,265,9.48
"593","Zaku Warrior","1/144","High Grade","Gundam SEED",3306,240,9.48
"599","Man Rodi","1/144","High Grade","Iron-Blooded Orphans",3306,236,9.48
"625","RX-78-2 Gundam","1/144","High Grade","UC",3306,250,9.48
"626","RX-178 Gundam Mk-II Titans Color","1/144","High Grade","UC",3306,295,9.48
"627","MS-06S Char`s Zaku II","1/144","High Grade","UC",3306,295,9.48
"628","MS-06FS Zaku II Garma Custom","1/144","High Grade","UC",3306,252,9.48
"629","MS-06 Zaku II Mass Production Type","1/144","High Grade","UC",3306,255,9.48
"630","RX-77D GunCannon Mass Production Type","1/144","High Grade","UC",3306,256,9.48
"631","MS-05 Zaku I","1/144","High Grade","UC",3306,295,9.48
"646","RMS-106 Hi-Zack","1/144","High Grade","UC",3306,295,7.9
"693","v Gundam","1/144","No-Grade","Char`s Counter Attack",3306,230,6.32
"1331","Beruga Giros","1/100","No-Grade","Gundam F",3306,291,7.9
"353","Wing Gundam Zero","1/144","High Grade","AC",3351.79,275,15.16
"544","Graze Ritter","1/144","High Grade","Iron-Blooded Orphans",3369.43,264,11.37
"440","GM Sniper II","1/144","High Grade","UC",3408.6,291,14.21
"515","XXXG-01S2 Gundam Nataku Metal Clear Version","1/144","High Grade","FA Gundam W EW Metal Clear Version",3416.2,237,11.84
"574","MS-06FZ Zaku II Custom","1/144","High Grade","UC",3416.2,295,11.37
"575","RGM-79C GM Type C","1/144","High Grade","UC",3416.2,262,11.37
"594","Zaku Warrior Live Concert Ver.","1/144","High Grade","Gundam SEED",3416.2,236,9.48
"632","RMS-106 Hi-Zack E.F.S.F.","1/144","High Grade","UC",3416.2,254,9.48
"633","MS-05 Zaku I The Black Tri-Star","1/144","High Grade","UC",3416.2,294,9.48
"545","Helmwige Reincar","1/144","High Grade","Iron-Blooded Orphans",3420,255,11.37
"597","RGM-79","1/144","High Grade","Gundam The th MS Team",3434.18,259,9.48
"609","XXXG-01S2 Gundam Nataku","1/144","High Grade","FA Gundam W EW",3434.18,230,9.48
"610","XXXG-01D2 Gundam D-Hell Custom","1/144","High Grade","FA Gundam W EW",3434.18,230,9.48
"486","Grimoire","1/144","High Grade","Reconguista in G",3438,243,13.27
"620","OZ-19MASX Gundam Griepe","1/144","High Grade","Gundam W Unit",3439.76,253,9.48
"490","R12 Mobile BuCUE","1/144","Remaster","Remaster Ver.",3446.02,250,13.27
"621","OZ-15AGX Hydra Gundam","1/144","High Grade","Gundam W Unit",3452.16,264,9.48
"700","MS-14B Gelgoog 14B","1/144","No-Grade","MSV",3458.75,256,6.32
"441","RGM-86R GM III","1/144","High Grade","UC",3464.06,294,14.21
"1332","Vigna Ghina","1/100","No-Grade","Gundam F",3464.06,275,7.9
"1329","Gun Blastor","1/100","High Grade","V Gundam",3471.3,264,7.9
"1330","Zollidia","1/100","High Grade","V Gundam",3471.3,266,7.9
"1359","MSM-04 Acguy","1/100","No-Grade","First Gundam",3472.08,246,6.63
"491","R16 M1 Astray","1/144","Remaster","Remaster Ver.",3475.97,281,13.27
"622","R03 Buster Gundam","1/144","Remaster","Remaster Ver.",3489.57,239,9.48
"1319","F90Y Cluster Gundam","1/100","No-Grade","Silhouette Formula  in U.C.",3494.07,301,11.37
"435","G-Saviour Space Mode","1/144","High Grade","UC",3501.6,259,14.21
"492","R11 LaGOWE","1/144","Remaster","Remaster Ver.",3501.6,246,13.27
"494","Zaku Mariner","1/144","High Grade","UC",3501.6,262,13.27
"1324","RGM-111 Hardygun","1/100","No-Grade","Silhouette Formula  in U.C.",3506.04,283,9.48
"1303","XXXG-01S Shenlong Gundam","1/100","High Grade","Gundam W",3510,299,11.84
"1325","XM-07G Vigna Zirah","1/100","No-Grade","Silhouette Formula  in U.C.",3532.03,296,9.48
"415","Gundam VS Zaku II","1/144","High Grade","Gundam The th MS Team",3546,636,14.21
"82","Magella-Attack","1/144","EX","EX Model",3585.73,310,33.16
"1286","G Gundam Hyper Mode Ver.","1/100","High Grade","G Gundam",3586.8,322,14.21
"1308","V2 Gundam","1/100","High Grade","V Gundam",3591,302,11.84
"1313","GX-9900 Gundam X","1/100","No-Grade","Gundam X",3608.4,335,11.84
"1304","XXXG-01W Wing Gundam","1/100","High Grade","Gundam W",3627,344,11.84
"576","RGM-79Q GM Quel","1/144","High Grade","UC",3650.92,295,11.37
"1296","Gundam RXF91","1/100","No-Grade","Silhouette Formula  in U.C.",3651.18,287,13.27
"1297","Shining Gundam","1/100","High Grade","G Gundam",3669.9,299,11.84
"1309","LM312V04 Victory Gundam","1/100","High Grade","V Gundam",3685.5,303,11.84
"231","Gundam Ground Type S","1/144","High Grade","(Gundam Thunderbolt)",3697.58,370,17.06
"237","Gundam Jiyan Altron","1/144","High Grade","Build Divers",3697.58,314,17.06
"245","Crossbone Gundam Maoh","1/144","High Grade","Build Fighters",3697.58,274,17.06
"246","Gundam Amazing Red Warrior","1/144","High Grade","Build Fighters",3697.58,273,17.06
"279","GM Guard Custom","1/144","High Grade","Gundam The Origin",3697.58,295,17.06
"317","Gundam Astray Red Frame","1/144","High Grade","Gundam SEED",3697.58,339,16.11
"340","Wing Gundam Fenice","1/144","High Grade","Build Fighters",3697.58,292,15.16
"350","Gundam G-Self","1/144","High Grade","Reconguista in G",3697.58,285,15.16
"351","Gundam G-Arcane","1/144","High Grade","Reconguista in G",3697.58,284,15.16
"380","Gundam 00 Sky","1/144","High Grade","Build Divers",3697.58,327,14.21
"381","Gouf R35","1/144","High Grade","Build Fighters",3697.58,320,14.21
"467","Gundam MK-II","1/144","High Grade","UC REVIVE",3697.58,301,14.21
"468","Gundam MK-II","1/144","High Grade","UC REVIVE",3697.58,301,14.21
"474","Gundam Astaroth Origin","1/144","High Grade","Iron-Blooded Orphans",3697.58,293,13.27
"511","V2 Gundam","1/144","High Grade","UC",3697.58,274,12.32
"536","Gundam Gusion Rebake","1/144","High Grade","Iron-Blooded Orphans",3697.58,271,11.37
"546","Gundam Gusion Rebake Full City","1/144","High Grade","Iron-Blooded Orphans",3697.58,311,11.37
"1320","Gundam F91","1/100","No-Grade","Gundam F",3704.4,313,11.05
"1278","RX-99 Neo Gundam","1/100","No-Grade","Silhouette Formula  in U.C.",3710.07,349,16.11
"1298","Dragon Gundam","1/100","High Grade","G Gundam",3713.06,289,11.84
"1299","G Gundam","1/100","High Grade","G Gundam",3722.36,328,11.84
"519","GAT-X105 Aile Strike Gundam","1/144","High Grade","Gundam SEED",3732.93,265,11.37
"520","GAT-X102 Duel Gundam Assault Shroud","1/144","High Grade","Gundam SEED",3732.93,265,11.37
"521","GAT-X303 Aegis Gundam","1/144","High Grade","Gundam SEED",3732.93,265,11.37
"595","ZGMF-1017 Mobile Ginn","1/144","High Grade","Gundam SEED",3732.93,255,9.48
"87","Mobile Armor Exass","1/144","EX","EX Model",3741.01,271,30.32
"88","Mobile Armor Exass","1/144","EX","EX Model",3741.01,271,30.32
"577","RGM-79FP Gm Striker","1/144","High Grade","UC",3741.01,280,11.37
"328","Gundam Airmaster","1/144","High Grade","AW",3753.61,262,16.11
"475","Graze Ein","1/144","High Grade","Iron-Blooded Orphans",3753.61,303,13.27
"522","Gundam Astray Red Frame","1/144","High Grade","Gundam SEED",3753.61,265,11.37
"523","Gundam Astary Blue Frame","1/144","High Grade","Gundam SEED",3753.61,255,11.37
"524","Mobile Cgue","1/144","High Grade","Gundam SEED",3762,265,11.37
"525","GAT-X207 Blitz Gundam","1/144","High Grade","Gundam SEED",3772.64,265,11.37
"564","R07 Mobile Cgue","1/144","Remaster","Remaster Ver.",3773.57,262,11.37
"1305","XXXG-00W0 Wing Gundam Zero","1/100","High Grade","Gundam W",3782.4,347,11.84
"506","Zeydra","1/144","High Grade","AGE",3786.24,270,12.32
"596","Mobile Ginn Miguel`s Ginn","1/144","High Grade","Gundam SEED MSV",3786.24,252,9.48
"207","Gundam Local Type","1/144","High Grade","Gundam The Origin",3793.54,288,18.95
"278","Zaku II Type C/Type C-5","1/144","High Grade","Gundam The Origin",3793.54,348,17.06
"578","RGM-79 Powered GM","1/144","High Grade","UC",3793.54,295,11.37
"1314","GW-9800 Gundam Air Master","1/100","No-Grade","Gundam X",3802.5,330,11.84
"43","FFMH-Y-101 Eternal","1/1700","EX","EX Model",3806.27,258,33.16
"44","FFMH-Y-101 Eternal","1/1700","EX","EX Model",3806.27,258,33.16
"201","Gundam Schwarzs Ritter","1/144","High Grade","Build Fighters",3809.63,337,18.95
"232","GM","1/144","High Grade","(Gundam Thunderbolt)",3809.63,302,17.06
"314","Hyaku Shiki","1/144","High Grade","UC Revive",3809.63,326,17.06
"318","Gundam Astray Blue Frame Second L","1/144","High Grade","Gundam SEED",3809.63,327,16.11
"357","Blue Destiny Unit 2 `EXAM`","1/144","High Grade","UC",3809.63,343,15.16
"360","Blue Destiny Unit 1 `EXAM`","1/144","High Grade","UC",3809.63,319,15.16
"419","Gundam AGE-2 Normal","1/144","High Grade","AGE",3809.63,291,14.21
"1300","Rising Gundam","1/100","High Grade","G Gundam",3813.38,320,11.84
"473","Gundam Barbatos Lupus Rex","1/144","High Grade","Iron-Blooded Orphans",3813.51,299,13.27
"1301","Gundam Maxter","1/100","High Grade","G Gundam",3817.8,315,11.84
"229","*Bargain Item* Impulse Gundam Arc","1/144","High Grade","Build Divers",3819,340,18
"230","*Bargain Item* Impluse Gundam Lancier","1/144","High Grade","Build Divers",3819,350,18
"238","Gundam Age II Magnum","1/144","High Grade","Build Divers",3819,357,17.06
"239","Grimoire Red Beret","1/144","High Grade","Build Divers",3819,326,17.06
"319","Zaku I","1/144","High Grade","Gundam The Origin",3819,333,16.11
"476","Gundam Vual","1/144","High Grade","Iron-Blooded Orphans",3819,286,13.27
"507","Ghirarga","1/144","High Grade","AGE",3819,262,12.32
"512","RB-79 Ball Twin Set","1/144","High Grade","UC",3819,307,12.32
"518","Leo NPD","1/144","High Grade","Build Divers",3819,268,11.37
"579","RX-78 GP01 Gundam GP01 ZEPHYRANTHES","1/144","High Grade","UC",3819,288,11.37
"580","AMX-107 Bawoo","1/144","High Grade","UC",3819,293,11.37
"581","MS-14F Gelgoog Marine","1/144","High Grade","UC",3819,303,11.37
"1315","GX-9900-DV Gundam X Divider","1/100","No-Grade","Gundam X",3822,348,11.84
"526","GAT-01A1 105 Slaughter","1/144","High Grade","Gundam SEED",3829.9,264,11.37
"531","Hyperion Gundam","1/144","High Grade","Gundam SEED MSV",3829.9,248,11.37
"565","R08 Calamity Gundam","1/144","Remaster","Remaster Ver.",3829.9,284,11.37
"566","R02 Duel Gundam","1/144","Remaster","Remaster Ver.",3829.9,268,11.37
"567","R04 Blitz Gundam","1/144","Remaster","Remaster Ver.",3829.9,257,11.37
"568","R05 Aegis Gundam","1/144","Remaster","Remaster Ver.",3829.9,290,11.37
"173","Chinagguy","1/144","High Grade","Build Fighters",3833.47,296,20.85
"341","Star Burning Gundam","1/144","High Grade","Build Fighters",3833.47,295,15.16
"383","ZGMF-2000 Gouf Ignited Rudolf Wittgenstein Custom","1/144","High Grade","Gundam SEED",3835.2,320,14.21
"442","Barzam","1/144","High Grade","UC",3835.2,313,14.21
"487","Turn A Gundam","1/144","High Grade","CC",3835.2,272,13.27
"495","MS-05L Zaku I Sniper Type","1/144","High Grade","UC",3837.24,295,13.27
"352","Montero","1/144","High Grade","Reconguista in G",3842.75,262,15.16
"420","Danazine","1/144","High Grade","AGE",3842.75,308,14.21
"503","Gunner Zaku Worrier","1/144","High Grade","Gundam SEED",3842.75,279,12.32
"532","Mobile Ginn High Maneuver","1/144","High Grade","Gundam SEED MSV",3842.75,262,11.37
"1285","GNR-010 0 Raiser","1/100","No-Grade","Gundam",3844,337,15.16
"247","Gundam Portant","1/144","High Grade","Build Fighters",3850.16,274,17.06
"291","Gundam AGE-FX Burst","1/144","High Grade","AGE",3850.16,335,17.06
"320","YMS-03 Waff","1/144","High Grade","Gundam The Origin",3850.16,293,16.11
"321","MS-04 Bugu","1/144","High Grade","Gundam The Origin",3850.16,307,16.11
"322","Zaku I","1/144","High Grade","Gundam The Origin",3850.16,318,16.11
"416","XXXG-01W Wing Gundam","1/144","High Grade","AC",3850.16,268,14.21
"477","Gundam Barbatos 6th Form","1/144","High Grade","Iron-Blooded Orphans",3850.16,341,13.27
"527","Ginn Type Insurgentt","1/144","High Grade","Gundam SEED",3850.16,282,11.37
"623","R06 Mobile Ginn","1/144","Remaster","Remaster Ver.",3850.16,258,9.48
"421","BMS-005 G Xiphos","1/144","High Grade","AGE",3852.68,280,14.21
"280","GM Intercept Custom","1/144","High Grade","Gundam The Origin",3855.6,268,17.06
"422","Gundam Legilis","1/144","High Grade","AGE",3855.6,277,14.21
"617","MSZ-006C1 Zetaplus C1","1/144","No-Grade","Gundam Sentinel",3860.77,282,9.48
"342","Lightning Gundam","1/144","High Grade","Build Fighters",3863.08,260,15.16
"354","Gundam AGE-3 Normal","1/144","High Grade","AGE",3863.08,320,15.16
"423","Baqto","1/144","High Grade","AGE",3863.08,290,14.21
"424","Gundam AGE-2 Dark Hound","1/144","High Grade","AGE",3863.08,304,14.21
"470","Build Strike Gundam Full Package","1/144","High Grade","Build Fighters",3863.08,279,13.27
"471","Build Burning Gundam","1/144","High Grade","Build Fighters",3863.08,272,13.27
"508","Clanche","1/144","High Grade","AGE",3863.08,268,12.32
"337","Extreme Gundam","1/144","High Grade","(Gundam Thunderbolt)",3865.66,284,15.16
"382","Star Build Strike Gundam Plavsky Wing","1/144","High Grade","Build Fighters",3865.66,313,14.21
"37","Salamis and Magellan","1/1700","EX","EX Model",3876,284,37.9
"38","Salamis and Magellan","1/1700","EX","EX Model",3876,284,37.9
"45","Arbion","1/1700","EX","EX Model",3876,330,33.16
"46","Arbion","1/1700","EX","EX Model",3876,330,33.16
"47","*Bargain Item* Ahgama","1/1700","EX","EX Model",3876,304,33.16
"48","*Bargain Item* Ahgama","1/1700","EX","EX Model",3876,304,33.16
"208","Local Type Gundam","1/144","High Grade","Gundam The Origin",3876,267,18.95
"248","Super Fumina","1/144","High Grade","Build Fighters",3876,334,17.06
"286","Gundam Astaroth Rinascimento","1/144","High Grade","Iron-Blooded Orphans",3876,338,17.06
"299","V-Dash Gundam","1/144","High Grade","UC",3876,296,17.06
"330","Gundam Ground Type","1/144","High Grade","UC",3876,313,16.11
"425","G Bouncer","1/144","High Grade","AGE",3876,278,14.21
"469","Gouf","1/144","High Grade","UC Revive",3876,296,14.21
"478","Gundam Flauros","1/144","High Grade","Iron-Blooded Orphans",3876,270,13.27
"510","Aile Strike Gundam","1/144","High Grade","CE",3876,271,12.32
"582","AMX-107 Bawoo Production Type","1/144","High Grade","UC",3876,300,11.37
"496","RGC-83 GM Cannon II","1/144","High Grade","UC",3886.22,294,13.27
"1336","Galbaldy Beta","1/100","No-Grade","Z Gundam",3886.6,293,7.9
"233","GM","1/144","High Grade","(Gundam Thunderbolt)",3896.4,306,17.06
"1310","Gundam F90 II-L Type","1/100","No-Grade","Gundam F",3897.95,323,11.84
"1311","Gundam F90-P Type","1/100","No-Grade","Gundam F",3897.95,327,11.84
"249","Gundam Lightning Black Warrior","1/144","High Grade","Build Fighters",3899.26,298,17.06
"1337","MS-07 Gouf","1/100","No-Grade","First Gundam",3902.08,265,7.58
"358","Blue Destiny Unit 3 `EXAM`","1/144","High Grade","UC",3906.78,342,15.16
"479","Gundam Kimaris Trooper","1/144","High Grade","Iron-Blooded Orphans",3906.78,296,13.27
"509","RGE-G2100C Clanche Custom","1/144","High Grade","AGE",3916.8,275,12.32
"250","Transient Gundam","1/144","High Grade","Build Fighters",3919.89,269,17.06
"361","RX-79[G]Ez-8 Gundam Ez8","1/144","High Grade","UC",3919.89,293,15.16
"443","Gundam AN-01 Tristan","1/144","High Grade","UC",3921.68,297,14.21
"202","Ninpulse Gundam","1/144","High Grade","Build Fighters",3933,305,18.95
"251","Gundam X Maoh","1/144","High Grade","Build Fighters",3933,306,17.06
"252","Build Gundam Mk-II","1/144","High Grade","Build Fighters",3933,326,17.06
"253","Gundam Leopard da Vinci","1/144","High Grade","Build Fighters",3933,303,17.06
"296","Freedom Gundam","1/144","High Grade","CE Revive",3933,364,17.06
"349","Gundam Dantalion","1/144","High Grade","Iron-Blooded Orphans",3933,357,15.16
"480","Gundam Kimaris Vidar","1/144","High Grade","Iron-Blooded Orphans",3933,303,13.27
"547","IO Frame Shiden","1/144","High Grade","Iron-Blooded Orphans",3933,243,11.37
"362","Zaku I Sniper Type","1/144","High Grade","UC",3942.54,302,15.16
"355","Gundam AGE-FX","1/144","High Grade","AGE",3946.11,320,15.16
"1306","XXXG-01D Gundam Deathscythe","1/100","High Grade","Gundam W",3959.7,316,11.84
"323","MS05S Char Aznable`s Zaku I","1/144","High Grade","Gundam The Origin",3976.7,329,16.11
"203","Transient Gundam Glacier","1/144","High Grade","Build Fighters",3990,324,18.95
"281","Guncannon First Type","1/144","High Grade","Gundam The Origin",3990,325,17.06
"297","Force Impulse Gundam","1/144","High Grade","CE Revive",3990,332,17.06
"324","Zaku I","1/144","High Grade","Gundam The Origin",3990,295,16.11
"444","GM Ground Type","1/144","High Grade","UC",3990,276,14.21
"445","Galbaldy Beta","1/144","High Grade","UC",3990,325,14.21
"513","RX-121-1 Hazel-Custom","1/144","High Grade","UC",3990,295,12.32
"639","Sazabi","1/144","No-Grade","Char`s Counter Attack",3990,320,7.9
"641","Devil Gundam","1/144","No-Grade","G Gundam",3993.99,284,7.9
"1292","GT-9600 Gundam Leopard","1/100","No-Grade","Gundam X",3998.4,342,14.21
"616","G Armor","1/144","No-Grade","First Gundam",3999.6,306,9.48
"618","MSA-0011 S-Gundam","1/144","No-Grade","Gundam Sentinel",4016.6,318,9.48
"1326","F71B G-Cannon Magna","1/100","No-Grade","Silhouette Formula  in U.C.",4016.6,313,9.48
"1312","Gundam F90-V","1/100","No-Grade","Gundam F",4017.6,336,11.84
"934","White Base","1/1200","No-Grade","Vessels",4019.4,290,9.48
"1338","MSM-07S Char`s Z`Gok","1/100","No-Grade","First Gundam",4032,281,7.58
"569","R01 Aile Strike Gundam","1/144","Remaster","Remaster Ver.",4032.54,272,11.37
"619","FA-010-B Fullarmor ZZ-Gundam","1/144","No-Grade","Gundam Sentinel",4041.38,346,9.48
"300","Crossbone Gundam X1","1/144","High Grade","UC",4047,278,17.06
"1346","MSM-08 Zogok","1/100","No-Grade","MSV",4054.4,275,7.58
"1339","MS-09 Dom","1/100","No-Grade","First Gundam",4067.07,291,7.58
"1340","MSM-07 Z`Gok","1/100","No-Grade","First Gundam",4076.8,281,7.58
"1364","MSM-04N Agguy","1/100","No-Grade","MSV",4076.8,297,6.32
"1341","MS-14 Gelgoog","1/100","No-Grade","First Gundam",4089.54,266,7.58
"1342","MS-09 Dom","1/100","No-Grade","First Gundam",4102.28,293,7.58
"426","Gundam AGE-2 Double Bullet","1/144","High Grade","AGE",4105.57,292,14.21
"640","v Gundam Fin-Fannel Equipment Type","1/144","No-Grade","Char`s Counter Attack",4116,282,7.9
"481","Gundam Bael","1/144","High Grade","Iron-Blooded Orphans",4116.86,275,13.27
"642","AGX-04 Gerbera Tetra","1/144","No-Grade","Stardust Memory",4116.86,300,7.9
"377","GPB-X80 Beginning Gundam","1/144","High Grade","Gunpla Builders",4123,301,15.16
"497","RMS-108 Marasai","1/144","High Grade","UC",4123,295,13.27
"583","MSM-03C Hy-Gogg","1/144","High Grade","UC",4123,345,11.37
"584","MS-14JG Gelgoog J","1/144","High Grade","UC",4123,295,11.37
"1343","MS-14 Gelgoog","1/100","No-Grade","First Gundam",4135.04,260,7.58
"446","MS-06F-2 Zaku II Type F2","1/144","High Grade","UC",4166.4,290,14.21
"198","Gundam 00 Diver Ace","1/144","High Grade","Build Divers",4201.8,367,18.95
"240","GM III Beam Master","1/144","High Grade","Build Divers",4201.8,381,17.06
"241","Gundam Astray No-Name","1/144","High Grade","Build Divers",4201.8,362,17.06
"254","Gundam Fenice Rinascita","1/144","High Grade","Build Fighters",4201.8,327,17.06
"255","Gyancelot","1/144","High Grade","Build Fighters",4201.8,419,17.06
"292","Gundam AGE-3 Fortress","1/144","High Grade","AGE",4201.8,359,17.06
"774","EWAC-Zack","1/144","No-Grade","Gundam ZZ",4206.61,279,5.53
"1344","MSM-03 Gog","1/100","No-Grade","First Gundam",4219.49,303,7.58
"298","God Gundam","1/144","High Grade","FC",4225.92,297,17.06
"1333","MS-06K Zaku Cannon","1/100","No-Grade","MSV",4228.16,316,7.9
"447","RX-121-2 Gundam TR-1 Hazel-II","1/144","High Grade","UC",4240.8,340,14.21
"498","AMX-003 Gaza-C","1/144","High Grade","UC",4240.8,310,13.27
"499","EMS10 Zudah","1/144","High Grade","UC",4240.8,293,13.27
"585","RMS-099 Rick Dias Quatro Custom","1/144","High Grade","UC",4240.8,336,11.37
"586","MSM-07E Z`gok Experement","1/144","High Grade","UC",4240.8,309,11.37
"699","Dreissen","1/144","No-Grade","Gundam ZZ",4242.67,327,6.32
"1345","MS-14S Char`s Gelgoog","1/100","No-Grade","First Gundam",4242.67,261,7.58
"448","MS-06F-2 Zaku II Type F2","1/144","High Grade","UC",4247.93,289,14.21
"1334","MS-06R Zaku II Shin Matsunaga`s Customize Mobile Suit","1/100","No-Grade","MSV",4251.52,313,7.9
"363","MS-06R-1A Black Tri-Stars Zaku II","1/144","High Grade","UC",4263.12,326,15.16
"384","Kerberos Bucue Hound Aleck Ladd Use","1/144","High Grade","Gundam SEED",4263.12,285,14.21
"209","Dom Test Prototype","1/144","High Grade","Gundam The Origin",4275,344,18.95
"331","RX-139 Hambrabi","1/144","High Grade","UC",4276.87,297,16.11
"364","Jegan","1/144","High Grade","UC",4285.44,318,15.16
"301","MS-06R-2 Johnny Ridden`s Customize Zaku II","1/144","High Grade","UC",4290.62,357,17.06
"294","Gundam X Divider","1/144","High Grade","AW",4299.26,318,17.06
"83","Oggo","1/144","EX","EX Model",4299.7,315,33.16
"385","UT-1D Civilian Astray DSSD Custom","1/144","High Grade","Gundam SEED",4299.7,310,14.21
"449","Jegan","1/144","High Grade","UC",4299.7,292,14.21
"472","Mobile Bucue","1/144","High Grade","Gundam SEED",4299.7,270,13.27
"587","RMS-099 Rick Dias","1/144","High Grade","UC",4299.7,295,11.37
"115","Full Armor Gundam","1/144","High Grade","(Gundam Thunderbolt)",4313.85,427,25.58
"179","Gundam FSD","1/144","High Grade","Gundam The Origin",4313.85,343,20.85
"302","MS-08TX/S Efreet Schneid","1/144","High Grade","UC",4313.85,321,17.06
"210","Act Zaku","1/144","High Grade","Gundam The Origin",4332,323,18.95
"256","Gundam Exia Dark Matter","1/144","High Grade","Build Fighters",4332,336,17.06
"537","Gundam Gusion","1/144","High Grade","Iron-Blooded Orphans",4332,304,11.37
"295","GX-9900 Gundam X","1/144","High Grade","AW",4335.55,395,17.06
"228","GPB-X78-30 Forever Gundam","1/144","High Grade","Gunpla Builders",4336.27,384,18.95
"211","High Mobility Type Zaku II","1/144","High Grade","Gundam The Origin",4336.79,390,18.95
"378","Beginning D Gundam","1/144","High Grade","Gunpla Builders",4344.96,327,15.16
"379","Beginning J Gundam","1/144","High Grade","Gunpla Builders",4344.96,329,15.16
"287","Catsith","1/144","High Grade","Reconguista in G",4351.35,313,17.06
"332","Strum Dias","1/144","High Grade","UC",4358.6,366,16.11
"131","FX550 Sky Grasper Launcher/Sword Pack","1/144","Real Grade","Real Grade (RG)",4358.98,345,23.69
"160","Schuzrum Galluss","1/144","High Grade","UC",4358.98,321,22.74
"242","Momokapool","1/144","High Grade","Build Divers",4359.74,273,17.06
"386","ZGMF-X10A Freedom Gundam","1/144","High Grade","Gundam SEED",4367.59,297,14.21
"450","Full Armor 7th Gundam","1/144","High Grade","UC",4367.59,297,14.21
